id,subject,body,label
1,Urgent: Verify your account,"Dear user, your account has been suspended. Click below to verify.",phishing
2,Meeting Reminder,Don’t forget our meeting at 3 PM today.,legitimate
3,Security Alert,Your password will expire soon. Update it here.,phishing
4,Invoice Attached,Please find attached the invoice for your purchase.,legitimate
5,Win a free iPhone!,Congratulations! You have won. Click to claim your prize.,phishing
6,Project Update,The new project report is ready for review.,legitimate
7,Important Bank Notice,Suspicious activity detected. Verify immediately.,phishing
8,Lunch Invitation,Join us for team lunch tomorrow.,legitimate
9,Confirm Payment,Your transaction is pending confirmation.,phishing
10,HR Policy Update,Please review the new HR leave policy.,legitimate
11,Alert 11,Your account has an issue 11. Click here to fix.,phishing
12,Reminder 12,This is a regular email reminder 12.,legitimate
13,Alert 13,Your account has an issue 13. Click here to fix.,phishing
14,Reminder 14,This is a regular email reminder 14.,legitimate
15,Alert 15,Your account has an issue 15. Click here to fix.,phishing
16,Reminder 16,This is a regular email reminder 16.,legitimate
17,Alert 17,Your account has an issue 17. Click here to fix.,phishing
18,Reminder 18,This is a regular email reminder 18.,legitimate
19,Alert 19,Your account has an issue 19. Click here to fix.,phishing
20,Reminder 20,This is a regular email reminder 20.,legitimate
21,Alert 21,Your account has an issue 21. Click here to fix.,phishing
22,Reminder 22,This is a regular email reminder 22.,legitimate
23,Alert 23,Your account has an issue 23. Click here to fix.,phishing
24,Reminder 24,This is a regular email reminder 24.,legitimate
25,Alert 25,Your account has an issue 25. Click here to fix.,phishing
26,Reminder 26,This is a regular email reminder 26.,legitimate
27,Alert 27,Your account has an issue 27. Click here to fix.,phishing
28,Reminder 28,This is a regular email reminder 28.,legitimate
29,Alert 29,Your account has an issue 29. Click here to fix.,phishing
30,Reminder 30,This is a regular email reminder 30.,legitimate
31,Alert 31,Your account has an issue 31. Click here to fix.,phishing
32,Reminder 32,This is a regular email reminder 32.,legitimate
33,Alert 33,Your account has an issue 33. Click here to fix.,phishing
34,Reminder 34,This is a regular email reminder 34.,legitimate
35,Alert 35,Your account has an issue 35. Click here to fix.,phishing
36,Reminder 36,This is a regular email reminder 36.,legitimate
37,Alert 37,Your account has an issue 37. Click here to fix.,phishing
38,Reminder 38,This is a regular email reminder 38.,legitimate
39,Alert 39,Your account has an issue 39. Click here to fix.,phishing
40,Reminder 40,This is a regular email reminder 40.,legitimate
41,Alert 41,Your account has an issue 41. Click here to fix.,phishing
42,Reminder 42,This is a regular email reminder 42.,legitimate
43,Alert 43,Your account has an issue 43. Click here to fix.,phishing
44,Reminder 44,This is a regular email reminder 44.,legitimate
45,Alert 45,Your account has an issue 45. Click here to fix.,phishing
46,Reminder 46,This is a regular email reminder 46.,legitimate
47,Alert 47,Your account has an issue 47. Click here to fix.,phishing
48,Reminder 48,This is a regular email reminder 48.,legitimate
49,Alert 49,Your account has an issue 49. Click here to fix.,phishing
50,Reminder 50,This is a regular email reminder 50.,legitimate
51,Alert 51,Your account has an issue 51. Click here to fix.,phishing
52,Reminder 52,This is a regular email reminder 52.,legitimate
53,Alert 53,Your account has an issue 53. Click here to fix.,phishing
54,Reminder 54,This is a regular email reminder 54.,legitimate
55,Alert 55,Your account has an issue 55. Click here to fix.,phishing
56,Reminder 56,This is a regular email reminder 56.,legitimate
57,Alert 57,Your account has an issue 57. Click here to fix.,phishing
58,Reminder 58,This is a regular email reminder 58.,legitimate
59,Alert 59,Your account has an issue 59. Click here to fix.,phishing
60,Reminder 60,This is a regular email reminder 60.,legitimate
61,Alert 61,Your account has an issue 61. Click here to fix.,phishing
62,Reminder 62,This is a regular email reminder 62.,legitimate
63,Alert 63,Your account has an issue 63. Click here to fix.,phishing
64,Reminder 64,This is a regular email reminder 64.,legitimate
65,Alert 65,Your account has an issue 65. Click here to fix.,phishing
66,Reminder 66,This is a regular email reminder 66.,legitimate
67,Alert 67,Your account has an issue 67. Click here to fix.,phishing
68,Reminder 68,This is a regular email reminder 68.,legitimate
69,Alert 69,Your account has an issue 69. Click here to fix.,phishing
70,Reminder 70,This is a regular email reminder 70.,legitimate
71,Alert 71,Your account has an issue 71. Click here to fix.,phishing
72,Reminder 72,This is a regular email reminder 72.,legitimate
73,Alert 73,Your account has an issue 73. Click here to fix.,phishing
74,Reminder 74,This is a regular email reminder 74.,legitimate
75,Alert 75,Your account has an issue 75. Click here to fix.,phishing
76,Reminder 76,This is a regular email reminder 76.,legitimate
77,Alert 77,Your account has an issue 77. Click here to fix.,phishing
78,Reminder 78,This is a regular email reminder 78.,legitimate
79,Alert 79,Your account has an issue 79. Click here to fix.,phishing
80,Reminder 80,This is a regular email reminder 80.,legitimate
81,Alert 81,Your account has an issue 81. Click here to fix.,phishing
82,Reminder 82,This is a regular email reminder 82.,legitimate
